,Amount,Protein,Fat,Carbs,Fiber,Alcohol,Sugar,Saturated Fats,Sodium,Cholesterol,Potassium,Iron,Ca,Source,Calories,Match Index
Oil olive,30,0,29.970000000000002,0,0,0,0,4.878000000000001,0,0,0,0,0,Australian Government,269.73,717
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
Protein Breakfast Bar,10,99.07000000000001,131.98999999999998,128.965,28.13,0,20.015,91.592,86.5,0,1379.6,13.056,256.79999999999995,Own Recipe,2100.0499999999997,1268
Peanut butter smooth & crunchy no added sugar or salt,130,31.59,70.58999999999999,12.22,8.450000000000001,0,6.760000000000001,23.647000000000002,15.6,0,821.6,2.236,70.2,Australian Government,810.55,772
Coles Soy Milk Oranic,100,3,3.3000000000000003,5.1,0,0,1.8000000000000003,0,39,0,0,0,120,Coles,62.1,1179
VPA Premium Plant Vegan Protein,50,35.7,3.1,6.2,0,0,5.1,0.55,5.5,0,0,3.8,0,Producer Website,195.50000000000003,1400
Noshu 95% Sugar Free Milk Chocolate Melts (100g),25,2.375,9.65,1.5,0,0,1.225,5.975,12.5,0,0,0,0,Woolworths,102.35000000000001,1639
Noshu 97% Sugar Free Dark Choc Baking Chips (100g),25,3.125,7.55,1.675,0,0,0.75,7.3,2.5,0,0,0,0,Woolworths,87.15,1641
Oats hulled uncooked,180,21.06,17.64,99.9,15.479999999999999,0,2.16,34.919999999999995,7.2,0,558,7.02,66.6,Australian Government,642.6,703
Mckenzie's Coconut Shredded Loose (100g),30,2.22,20.16,2.37,4.2,0,2.22,19.2,4.2,0,0,0,0,Woolworths,199.79999999999998,1611
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,#N/A
,,,,,,,,,,,,,,,,
